en_clean,ar_clean
you wont find anything,مش هتلاقي حاجة
you wont,مش هتلاقي حاجة
well see,هنشوف
just be patient,مستعجلة ليه؟
look,بصي
what,ايه؟
you poor thing,يا عيني؟
run away,اجري
what is it this time,المرة دي ايه؟
money laundry or signature forgery,غسيل اموال ولا تزوير امضاء؟
holy crap,يا نهار اسود ومنيل
idiot,غبية
im an idiot,غبية
his name is not youssef,مسموش يوسف
its khamees and hes from faysal,اسمه خميس ومن فيصل
stop laughing,بتضحكي؟
khamees,خميس؟
his name is khamees,اسمه خميس؟
but let me tell you,بس اقولك حاجة؟
i think this guy is just brilliant,الواد دماغه عجبتني
damn,يخربيته
basically he wanted you to sell that stolen ring for him and hand him the clean cash on a silver platters,عايزك تبيعي الخاتم وتبعتيهوله تبعتيله الفلوس كدا نضيفة عفيفة علي طبق من دهب
why why why,لا لا لا
montasser was right about him when he said that he had no scent,الواد منتصر طلع بيفهم وعنده حق لما قال ملوش ريحة
you have to be a good boy ibrahim,لازم تسمع الكلام يا ابراهيم
i took a long time to get this job,انا ماصدقت لقيت الشغلانة دي
i dont want to get fired because of you,مش عايزين عيشنا ينقطع بسببك
follow me,ورايا
i found it odd that mr khadrawy showed us around the house personally,كان غريب ان الخضراوي باشا بنفسه كان بيفرجنا البيت
listen om ibrahim this is the hall,شوفي يا ام ابراهيم هنا الصالة
the dining room,وهنا السفرة
and this is the guest room,وهنا اوضة الصالون
youll be sleeping in here,وانتم هتباتم هنا
this is the kitchen,هنا المطبخ
and this is the chimney,ودي الدفاية
we dont ever use it,ودي مابنستخدمهاش
this is hamdeya the house manager,ودي حمدية ماسكة البيت
she knows all of the rules,وعارفة قواعده
in this house we dont permit noise or unnecessary chattering,واحنا في البيت ده مبنحبش الدوشة ولا الكلام الكتير
didnt i tell you the master of the house doesnt like noise,مش قلت لك البيه مابيحبش الصوت العالي؟
im sorry mom,خلاص والنيي ياما
whats that,ايه ده؟
nothing,بلاش خوتة
go to the room,وروح علي الاوضة
there it is again,اهو تاني
its nothing,مفيش حاجة
and dont you dare say you heard something,وحسك عينك تقول انك سمعت حاجة
om ibrahim nargis isnt done eating her food yet,ام ابراهيم، نرجس لسه مخلصتش اكلها
yes i am,انا شبعت
i said leave the plate right there,انا قولت سيبي الطبق
i heard that sound again,انا سمعت الصوت تاني
shut up,اخرس
follow me,تعالي ورايا
lets go,تعالي ورايا
didnt i tell you you never listen,مش قولتلك تخليك تحت
you scared me who are you,بس الله الرحمن الرحيم انت مين؟
im shiraz,انا شيراز
would you like to play with me,تحب تلعب معايا؟
the master is very forgiving,والله البيه قلبه ابيض
anyone else would have killed them both,حد غيره كان قتلهم الاتنين
well god himself forgives our sins,يا ستي، ربنا بيسامح
how long will he keep that girl locked up,يعني هو هيفضل حابسها كده لغاية امتي؟
if something happens her blood will be on his hands,البت دي لو جرالها حاجة هيبقي ذنبها في رقبته
actually itll be on her fathers since hes the one who abandoned her,ذنبها في رقبة ابوها اللي عمل عملته وهرب
and her mother for having her out of wedlock,ولا امها اللي ماصنتش روحها
hey hey,يالا يا ولا
get out of here boy,انت واقف تعمل ايه هنا؟
im sorry,حقك عليا
i thought you were a ghost,افتكرتك جنية
my mother says that only ghosts live underground,امي بتقول الجن بس اللي بيعيش تحت الارض
youre the one who keeps knocking right,انت اللي كنت بتخبطي، صح؟
yes whenever i need something i knock on the walls,ايوه، لما اعوز حاجة لازم اخبط
i know that your grandpa locked you up,انا عرفت ان جدك هو اللي حابسك
dont tell anyone you saw me,اوعي تقول لحد انك شوفتني
if my grandfather finds out hell kill me,لو جدي عرف، هيموتني
want some berries,تاخدي توت؟
thats the sea in alexandria,ده بحر اسكندرية
i dont know what that is,يعني ايه بحر؟
its a bunch of water next to a bunch of sand,دي ماية كتير اوي قدامها رملة
have you been there before,انت روحت هناك؟
no,لا
but when i grow up my mom said i can go,امي قالت لي لما اكبر حاروح
shut up,اخرسي
shut up,اخرسي
shut up,اخرسي
dont cry,ماتعيطيش
i want to get out of here,انا عايزة اخرج من هنا
can you please help me,هو انت ممكن تساعدني؟
ill do anything i can for you,انا مستعد اعمل اي حاجة عشان خاطرك
anything,اي حاجة؟
i did what you told me,انا عملت زي ما قولتلي
someone will have to come and let you out now,اكيد حد هيفتح لك دلوقتي يخرجك
shiraz,شيراز
no shiraz,لا، شيراز
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim dont leave me,ماتسيبنيش، يا ابراهيم
ibrahim,ابراهيم
let her out,افتحي لها
ibrahim dont leave me,ابراهيم، ماتسيبنيش
let her out mother,افتحي لها، يا اما
let her out,افتحي لها
let go of me,بتعمل ايه؟
i want my daughter,عايزة بنتي
youre my daughter too,وانت كمان بنتي
im not leaving you,مش هسيبك
let her out mom,افتحي لها يا، اما
dont leave me ibrahim,ماتسيبنيش، يا ابراهيم
dont leave me ibrahim,ماتسيبنيش، يا ابراهيم
ibrahim,يا ابراهيم
dont leave me,ماتسيبنيش
there is no one named shiraz in that house hear me,ماكنش في حد في البيت اسمه شيراز، سامع؟
ibrahim help me,يا ابراهيم، الحقني، يا ابراهيم
ibrahim,يا ابراهيم
ibrahim,يا ابراهيم
help me,الحقني
ibrahim,يا ابراهيم
i saved up money my whole life to buy this house and bury her body,عشت عمري كله باحوش فلوس علشان اشتري البيت علشان بس ادفن جثتها
maybe then she would forgive me for abandoning her,يمكن تسامحني اني سيبتها
but when i bought this house the basement had vanished,بس لما اشتريت البيت، البدروم كانه فص ملح وداب
so when i learned that you could see her i wondered why she had never appeared to me,ولما عرفت منك انك انت اللي بتشوفها، سالت نفسي هي ليه عمرها ما طلعت لي؟
but then i realized she didnt want to see me because she thought i had abandoned her,عرفت انها مش عايزاني علشان فاكراني سيبتها
so the only option i had was to die like she did,ما كانش قدامي حل غير اني اموت زيها
maybe then she would forgive me,يمكن تسامحني
please try and find her,دور عليها
and if you do hopefully you can do what i could not,يمكن انت تقدر تلاقيها، وتعمل اللي انا ماقدرتش عليه
how to get rid of shiraz,ازاي اخلص من شيراز؟
how to save shiraz,ازاي انقذ شيراز؟
he used to say ill die soon then i wont be a nuisance anymore,كان بيقول لي هاموت بدري، هترتاحي مني يا رييفة
and id say youll outlive us all talaat,كنت باقوله ده انت اللي هتموتنا وتدفنا يا طلعت
hes at peace now,الله يرحمه
i used to yell at him because i was always worried,انا كنت بزعق له علشان خايفة عليه
he was like a little boy just like taha,كان زي العيال الصغيرة، ده كان زي طه
and now that hes gone i feel like a little girl all alone,انا دلوقتي اللي عاملة زي العيلة الصغيرة من غيره
i miss him,وحشني اوي
i need him so much,محتاجة له اوي
raeefa we uh we couldnt find refaat anywhere,رييفة، احنا مالقيناش رفعت في اي حتة
its nothing,مفيش حاجة
i dont see anything,انا مش شايف حاجة
i dont see anything,انا مش شايف حاجة
refaats law number 55,قانون رفعت رقم
everything seems normal until refaat ismail touches it,كل الاشياء تبدو طبيعية الي ان يقترب منها رفعت اسماعيل
i was just in here,الاوضة دي انا دخلتها
where could he be,هيكون راح فين بس؟
what happened to him,لا يكون جراله حاجة
raeefa we uh,هيكون جراله ايه يعني؟
we have to figure out what to do,تلاقيه مع الخوجاية بتاعته في اي حتة
taha sweetie,طه
whats wrong,مالك؟
its nothing,مفيش حاجة
what do you mean by nothing,مافيش حاجة ايه يا قلب امك؟
dear refaat i hope the tarot was wrong,عزيزي رفعت، ارجو ان يكون التاروت مخطيا
and that you didnt lose a loved one after all,وانك لم تفقد ايا من اعزاءك
im sending you the last tarot card i didnt have time to read,ارسل لك ورقة التاروت الاخيرة التي لم يمهلني الوقت لقراءتها
dont worry,لا داعي للقلق
this card symbolizes home,فالورقة ترمز للبيت
maybe the card just tells you to go home to your country or house which you must have done already,ربما كانت نصيحة التاروت ان تعود للوطن او للبيت، الامر الذي لابد انك فعلته
please tell me how youre doing,ارسل لي اخبارك
regards louis,تحياتي، لوي
hello,الو؟
can i speak to the doctor,ممكن اكلم دكتور رفعت؟
howaida,هويدا؟
im at refaats office but hes not here,انا في المكتب رفعت مش هنا
we thought hed be with you,ده احنا قولنا ممكن يبقي معاكي
do you have any idea where he might have gone,طب ما تعرفيش ممكن يكون راح فين؟
weve looked everywhere,احنا مش لاقينه في اي حتة
no i dont know,لا، ماعرفش
can you let us know if you hear from him,طب ممكن لو عرفتي اي حاجة تبلغينا؟
were waiting at raeefs house,احنا هنا عند ابلة رييفة في البيت
taha are you all right,طه، انت كويس؟
auntie raeefa,ابلة رييفة
when i came in i found him drawing all of these,انا دخلت عليه لقيته بيرسم الرسومات دي كتير
what are those taha,الرسومات دي ايه يا طه؟
did you see her again,انت شوفتها تاني؟
taha answer me,طه، رد عليا
so raeefa are you crazy,شاف مين يا رييفة انت اتجنتتي؟
thats al khadrawys house,ده بيت الخضراوي
i swear it is,والله هو
enough of that,بطلي تخاريف انت التانية
the boy just lost his father and hes delusional,الواد ابوه لسه ميت وبيخطرف
he heard you tell the stories so much he believed it,فضلتوا تقولوا الحكاية قدامه لحد ما صدقها
just like the day he almost jumped off the roof,زي ما كان هينط من ع السور يوم العزومة
even if thats true he drew that house how could he,طب الحكاية وصدقها، البيت ده رسمه ازاي؟
hes never even seen it,ده لا عمره راح البلد ولا شاف البيت من اساسه
i saw her too uncle the day i was hospitalized,انا كمان يا ابيه شوفتها اليوم اللي نقلوني فيه المستشفي
what,ايه؟
what does that thing want from us,عايزة ايه مننا بنت الكلب دي؟
reda,رضا
hes the one who made us promise not to see her again,رضا هو اللي حلفنا مانروحلهاش تاني
and talaat she must be the one who,وطلعت تكونش هي
thats it shiraz wants the children who used to play with her,شيراز عايزة العيال اللي كانوا بيلعبوا معاها زمان
were the only ones left,
whos going to be next,ياتري الدور علي مين فينا؟
refaat,رفعت
he must have gone to al khadrawys house,اكيد راح لها بيت الخضراوي
elham will you please shut up we have to figure out what to do,تعرفي تخرسي يا الهام علشان اعرف افكر هنعمل ايه؟
we go to al khadrawys house and save refaat,احنا لازم نروح بيت الخضراوي ننقذ رفعت
and just hand ourselves to her have you lost your mind,نروح فين يا رييفة؟ انت اتجننتي؟
do you honestly think she wont find you here,وانت فاكر يعني انها مش هتقدر تجيلك هنا؟
stay with the kids if youre scared,لو خايف، خليك مع العيال
watch yourself raeefa,حاسبي علي كلامك يا رييفة
im not scared,انا مش خايف
you are,لا، خايف
you pretend youre some big man but always the first to run,وطول عمرك عامل فيها سبع البرمبة وانت وقت الجد اول واحد بتجري
do i raeefa,انا يا رييفة؟
fine whatever you say,ماشي، الله يسامحك
lets all go to al khadrawys house and save refaat,يالا يا اختي نروح بيت الخضراوي علشان نجيب رفعت
hopefully well make it out of there alive,بس علي الله نرجع منه المرة دي
refaats law number 65,قانون رفعت رقم
the monster in your mind is scarier than the monster itself,احيانا يكون اختفاء الوحش مرعب اكتر من الوحش نفسه
ready or not,خلاويص؟
no not yet,لسه
no not yet,لسه
ready or not,خلاويص؟
ready or not,خلاويص؟
no not yet,لسه
no not yet,لسه
ready or not,خلاويص؟
someone is going to get caught,خبي ديلك يا عصفور
got you refaat,مسكتك يا رفعت
hey guys the game is over,يا جماعة اطلعوا خلاص
refaat is still terrible at hide and seek,كالعادة رفعت ما بيعرفش يلعب استغماية
now refaat is it,رفعت اللي فيها
ready or not,خلاويص؟
ready or not,خلاويص؟
ready or not,خلاويص؟
if i had known that one day hide and seek would become so important to me i wouldve focused on it instead of medicine,ياريتني كنت اعرف ان الاستغماية هتكون مهمة في يوم بالنسبة لي كنت ركزت فيها اكتر من الطب
my life would be perfect for some hero in a greek tragedy,حياة لايقة جدا علي بطل ماساة اغريقية
someone like sisyphus who drops the rock just as he reaches the top of the mountain,زي سيزيف، كل ما بيوصل لقمة الجبل الصخرة بتقع منه
every time he thinks hes figured it out it turns out to be wrong,كل ما بلاقي الحل بيطلع مش هو
but sisyphus managed to cheat the god of death,بس سيزيف خدع اله الموت
what did you do refaat,انت بقا يا رفعت، عملت ايه؟
the only thing that has both is the fountain,الحاجة الوحيدة اللي في مكانها هي النافورة
all this time youre asking me to save you,انت كل ده كنت بتطلبي مني ان انا ارجع انقذك
forgive me,غبي
i didnt understand,مافهمتش
refaat,رفعت
what,ايه ده؟
what are you doing here,ايه اللي جابك هنا؟
we came to find you,جينا ندور عليك
we couldnt leave you on your own,ماينفعش نسيبك لوحدك
is she going to kill us refaat,هي هتموتنا يا رفعت؟
refaat have you seen her or not,رفعت، انت شوفتها يا رفعت؟
dont worry,ماتقلقوش
no one will see her ever again,مش هتظهر لحد تاني
follow me,تعالوا ورايا
raeefa,رييفة
elham,الهام
raeefa,رييفة
refaat,يا رفعت
refaat,يا رفعت
help me refaat,الحقني، يا رفعت
how the hell did you get here,انت ازاي وصلت لهنا؟
help,الحقني
im going to die,هموت
stay still dont move,ماتتحركش
if you move the rope will break and youll fall,الحبل مش هيستحمل، هينقطع وهتقع
wait wait,استني استني
do something hurry,اتصرف بسرعة
hurry,بسرعة
hurry up refaat,بسرعة، يا رفعت
refaat,رفعت
what do i do refaat,اعمل ايه يا رفعت؟
help me,ساعدني
elhamd,الهام
stay,اثبتي
they react to movement,الحركة هتستفزهم
im so scared refaat,انا خايفة اوي يا رفعت
help me please,اعمل حاجة
stay still,ماتتحركيش
elham,الهام
refaat help i dont want to die,رفعت، الحقني يا رفعت
raeefa,رييفة
come down refaat,انزل، رفعت
go away maggie,سيبيني يا ماجي
i have to die like them,انا لازم اموت زيهم
raeefa elham and medhat,رييفة والهام ومدحت
theyre dead,ماتوا
theres no one here refaat,مفيش حد يا رفعت
theyre dead,ماتوا
they were just hallucinations,دي اكيد
i found shirazs body but her soul wasnt laid to rest,انا طلعت جثة شيراز بس روحها مش عايزة تهدي
i dont understand,انا مش فاهم
im losing my mind maggie,هاتجنن
someone is trying to make me look crazy,في حد عايزني اتجنن يا ماجي
calm down so you can think straight,اهدي علشان تعرف تفكر
now if you found her body why is all this still happening,لو انت لقيت الجثة ليه كل ده لسه بيحصل؟
its your fault he caught me,انت اللي خليتيه يمسكني
he could see the bag of berries behind the curtain,كيس التوت كان باين من ورا الستارة
i was trying to help but youre being stupid,انا حاولت اساعدك بس انت اللي غبي
shiraz wait,شيراز استني
shiraz,شيراز
shiraz was trying to help me this whole time,شيراز كانت بتحاول طول الوقت تساعدني
shiraz,شيراز
refaat i tried to help you but he wouldnt let me,رفعت، انا حاولت بس هو ماسبنيش
he made me a monster,حولني لمسخ
i stopped you from taking the mummy to the wrong place,انا منعتك تودي الموميا للمكان الغلط
and i led you to the cave,ووصلتك للكهف
was it you who lured taha to the roof statue,انت اللي وقفتي طه علي سور السطح؟
i wasnt going to let him die,ماكنتش هاسيبه يموت
i was waiting for you to rescue him but you didnt want to see me,كنت مستنياك تطلع وتلحقه، بس ماكنتش راضي تشوفني
i had to do it,كان لازم اعمل كده
i tried to warn you,حاولت احذرك
i wrote death on the wall,كتبت موت علي الحيطة
i tried to warn howaida and untied reda so he could save you,وحاولت احذر هويذا، فكيت رضا علشان ينقذك
the incubus kept locking you in the maze,الجاثوم اللي يحبسك في المتاهة
have you never wondered how you woke up every time,ماسالتش نفسك ازاي كنت بتصحي كل مرة؟
refaat,يا رفعت
the maze is your mind,المتاهة هي عقلك
never give up your mind refaat,اوعي تسلم عقلك يا رفعت
inside it is something more precious than you could ever imagine,عقلك جواه حاجة اهم مما تتخيل
but why didnt you warn me,طب ليه ماحذرتنيش؟
or tell me it wasnt you,ليه ماقولتليش من الاول؟
as long as i was locked in the basement i couldnt talk to you refaat,طول ما كنت محبوسة في البدروم، ماكنتش اقدر اكلمك يا رفعت
i thought all of this was you,كنت فاكر ان انت
whos behind all of this horror,طب مين اللي ورا الاذي ده كله؟
lucifer,لوسيفر
lucifer,لوسيفر؟
the devil,الشيطان؟
i have to go refaat,الوداع يا رفعت
shiraz,شيراز
shiraz wait,شيراز استني
i cant stay here,مش بايدي
the price for talking to you is to leave forever,تمن اني اقولك، اني انتهي للابد
we cant stay together refaat,مش هنفضل مع بعض يا رفعت
but ill always love you,بس انا هفضل احبك للابد
maggie,ماجي
maggie,ماجي
maggie,ماجي
maggie,ماجي
are you a relative sir,انت قريبهم يا باشا؟
this house is haunted everyone knows that,اصل الناس كلها عارفة الدار ده اللهم احفظنا واللي فيها
all those years people denied you existed i was one,طول السنين دي وكل الناس بتنكر وجودها، حتي انا
this is the least i can do for everything you did for me,دي اقل حاجة اقدمها لها قصاد كل اللي عملته عشاني
let me carry that for you sir,عنك يا سعادة الباشا عنك
welcome back welcome back home,يا اهلا وسهلا
are you dr refaat young man,انت الدكتور رفعت يا ابني؟
uh no im not,لا، يا حجة
do you know when hell be back,طب ماتعرفش هيجيي امتي؟
my house is haunted and ive been told thats his specialty,اصل انا بيتي مسكون والناس قالوا لي بيفهم في الحاجات دي
when hes back ill let him know you called,لما يجي، هابلغه
and who are you,امال انت مين؟
you look like his photo on the paper,انت شبه صورته اللي في الجرنان
im his ghost,انا عفريته
are you sure i cant take you to the airport,متاكدة انك مش عايزاني اوصلك المطار؟
you know how i hate saying goodbye,انت عارف
ill see you again soon,اشوفك قريبا
do you want to see me again,لسه عايزة تشوفيني تاني؟
well we survived this time,المرة دي جت سليمة
we might not make it home the next one,ماضمنش المرة الجاية هيحصل ايه
tell her stay maggie,قولها استني يا ماجي
tell her i love you,قولها بحبك
i hope you have a safe trip,اتمني الرحلة تكون مريحة
what,ايه؟
do you still believe i dont say what i think,لسه مقتنعة اني باقول عكس اللي دماغي؟
you wouldnt be refaat if you did that,مش حتبقي رفعت لو معملتش كده
however im done trying to read your mind,بس خلاص انا مش عايزة اتخيل اللي في دماغك
if you dont say it then it doesnt count,الحل الوحيد انك تقوله بصوت عالي
when you can say it doctor scotland isnt far away,لما تبقي قادر تقوله، سكوتلاند مش بعيدة
refaat ismail professor of hematology and a certified jerk,رفعت اسماعيل، استاذ دكتور امراض الدم وحمار كبير
ill never stop loving you maggie,لن اتوقف عن حبك يا ماجي
until the stars fall from the sky until the world ends,حتي تحترق النجوم وتفني العوالم
howaida i dont know what to say but im very sorry,هويدا، انا مش عارف اقول ايه، بس انا اسف
for what,علي ايه؟
for everything,علي كل حاجة
for the pain i caused you how i treated you,ان انا كنت السبب في تعبك وعلي طريقتي
i know i havent always had the best attitude,عارف ان اسلوبي مش احسن اسلوب
you dont have to apologize refaat,مالوش لزوم الكلام ده يا رفعت
you just didnt fall in love with me its not your fault,انت مقدرتش تحبني ودي حاجة مش محتاجة اعتذار
if people could control their hearts everyone would be happy,الواحد لو قدر يحكم علي قلبه الناس كلها كانت ارتاحت
maggie came to see me and she gave me this ring,انا ماجي جات لي من كام يوم واديتني الخاتم ده
she said it wasnt her size,بتقول ان هو مش علي مقاسها
the ring was never my size either,وعمره ما كان علي مقاسي انا كمان
its too small,كان ضيق علي صباعي
i was too shy to tell you but im not that girl anymore,بس انا كنت بتكسف اقول، بس انا دلوقتي مش مكسوفة
take care of yourself refaat,خد بالك من نفسك يا رفعت
lucifer himself,لوسيفر شخصيا
what would the devil want with my mind,الشيطان عايز من عقلي ايه؟
i guess i should be flattered,شكلي لازم اتغر
obviously theres something in my head that would allow me to rule the world,واضح ان عقلي فيه حاجة ممكن تخليني احكم العالم
but as faith would have it i dont know what that is,بس للاسف انا ماعرفش ايه هي الحاجة دي
which officially makes me the unluckiest person on the face of the earth,وده دليل كافي اني اكتر شخص نحس في الدنيا
finally whats wrong refaat,الله، في كده يا رفعت؟
i thought youd never answer,ساعة عقبال ما تفتح الباب؟
can i tell you a secret uncle,اقولك علي سر يا خالو؟
but dont tell anyone,بس ماتقولش لحد
i wont,مش هقول
i dont see that girl in the white dress anymore,البنت ام فستان ابيض مابقتش تطلع لي
her name is shiraz taha,اسمها شيراز يا طه
shiraz al khadrawy,شيراز الخضراوي
ready or not,خلاويص؟
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
ready or not,خلاويص؟
dear refaat if youre reading this letter right now it means youre still alive which always makes me happy,عزيزي رفعت اذا كنت تقرا هذا الخطاب فبالتاكيد انت مازلت علي قيد الحياة، الامر الذي يسعدني دايما
im sending you a small gift,ارسل لك هدية، هدية صغيرة
no more mazes my friend,لا مزيد من المتاهات يا عزيزي
perhaps we should play some other games that are a little more fun,ربما العاب اخري اكثر امتاعا
the maze is your mind,المتاهة هي عقلك
never give up your mind refaat,اوعي تسلم عقلك يا رفعت
louis is lucifer,لوي هو لوسيفر
refaats law number one amended,قانون رفعت رقم واحد بعد التعديل
there is definitely such a thing as the paranormal,بالتاكيد هناك ما يسمي ما وراء الطبيعة
you have to be a good boy ibrahim,لازم تسمع الكلام يا ابراهيم
i finally managed to find this job,انا ماصدقت لقيت الشغلانة دي
i dont want to get fired because of you,مش عايزين عيشنا ينقطع بسببك
this way,ورايا
i found it strange that mr alkhadrawy himself showed us around the house,كان غريب ان الخضراوي باشا بنفسه كان بيفرجنا البيت
listen om ibrahim this is the living area,شوفي يا ام ابراهيم هنا الصالة
and the dining room,وهنا السفرة
this is the guest room,وهنا اوضة الصالون
youre going to sleep here,وانتم هتباتم هنا
this is the kitchen,هنا المطبخ
this is the chimney,ودي الدفاية
we dont use it,ودي مابنستخدمهاش
this is hamdeya the household manager,ودي حمدية ماسكة البيت
she knows all the rules,وعارفة قواعده
and in this house noise and chatter are prohibited,واحنا في البيت ده مبنحبش الدوشة ولا الكلام الكتير
didnt i tell you the master doesnt like noise,مش قلت لك البيه مابيحبش الصوت العالي؟
im really sorry mother,خلاص والنيي ياما
whats that,ايه ده؟
stop messing around,بلاش خوتة
go to your room,وروح علي الاوضة
here it comes again,اهو تاني
its nothing,مفيش حاجة
dont you dare say you heard something,وحسك عينك تقول انك سمعت حاجة
om ibrahim nargis hasnt finished her food,ام ابراهيم، نرجس لسه مخلصتش اكلها
im full,انا شبعت
i said leave the plate,انا قولت سيبي الطبق
im hearing that sound again,انا سمعت الصوت تاني
be quiet,اخرس
follow me,تعالي ورايا
follow me,تعالي ورايا
didnt i tell you to stay downstairs,مش قولتلك تخليك تحت
bismillah,بس الله الرحمن الرحيم
who are you,انت مين؟
im shiraz,انا شيراز
would you like to play with me,تحب تلعب معايا؟
the master is kind,والله البيه قلبه ابيض
anyone else would have killed them both,حد غيره كان قتلهم الاتنين
forget about it god is forgiving,يا ستي، ربنا بيسامح
how long will he keep that girl locked up,يعني هو هيفضل حابسها كده لغاية امتي؟
if something happens to her he will be responsible,البت دي لو جرالها حاجة هيبقي ذنبها في رقبته
it will be her fathers responsibility hes the one who ran away,ذنبها في رقبة ابوها اللي عمل عملته وهرب
and her mother who had a child out of wedlock,ولا امها اللي ماصنتش روحها
boy,يالا يا ولا
what are you doing here,انت واقف تعمل ايه هنا؟
im sorry,حقك عليا
i thought you were a demon,افتكرتك جنية
my mother says that only demons live underground,امي بتقول الجن بس اللي بيعيش تحت الارض
you were the one knocking right,انت اللي كنت بتخبطي، صح؟
yes i have to know whenever i need something,ايوه، لما اعوز حاجة لازم اخبط
i know that your grandpa locked you up,انا عرفت ان جدك هو اللي حابسك
dont tell anyone you saw me,اوعي تقول لحد انك شوفتني
if my grandpa finds out hell kill me,لو جدي عرف، هيموتني
would you like some berries,تاخدي توت؟
this is the sea in alexandria,ده بحر اسكندرية
what is a sea,يعني ايه بحر؟
a large body of water surrounded by sand,دي ماية كتير اوي قدامها رملة
have you been there,انت روحت هناك؟
no,لا
mother said that i can go there when im old enough,امي قالت لي لما اكبر حاروح
shut up,اخرسي
shut it,اخرسي
shut it,اخرسي
dont cry,ماتعيطيش
i want to get out of here,انا عايزة اخرج من هنا
can you please help me,هو انت ممكن تساعدني؟
ill do anything for you,انا مستعد اعمل اي حاجة عشان خاطرك
anything,اي حاجة؟
i did what you told me,انا عملت زي ما قولتلي
someone will surely come now and let you out,اكيد حد هيفتح لك دلوقتي يخرجك
shiraz,شيراز
no shiraz,لا، شيراز
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim,ابراهيم
ibrahim dont leave me,ماتسيبنيش، يا ابراهيم
ibrahim,ابراهيم
let her out,افتحي لها
ibrahim dont leave me,ابراهيم، ماتسيبنيش
let her out mother,افتحي لها، يا اما
lets go,تعالي
let her out,افتحي لها
what are you doing,بتعمل ايه؟
i want my daughter,عايزة بنتي
youre my daughter too,وانت كمان بنتي
i cant leave you,مش هسيبك
let her out,افتحي لها يا، اما
dont leave me ibrahim,ماتسيبنيش، يا ابراهيم
dont leave me ibrahim,ماتسيبنيش، يا ابراهيم
ibrahim,يا ابراهيم
dont leave me,ماتسيبنيش
there was no one with that name in the house understand,ماكنش في حد في البيت اسمه شيراز، سامع؟
ibrahim help me,يا ابراهيم، الحقني، يا ابراهيم
ibrahim,يا ابراهيم
ibrahim,يا ابراهيم
help me,الحقني
ibrahim,يا ابراهيم
ive been saving money all my life to buy this house and bury her,عشت عمري كله باحوش فلوس علشان اشتري البيت علشان بس ادفن جثتها
maybe then she would forgive me for leaving here there,يمكن تسامحني اني سيبتها
but when i bought the house it seemed that there was no basement at all,بس لما اشتريت البيت، البدروم كانه فص ملح وداب
when i heard that you saw her i asked myself why she never appeared to me,ولما عرفت منك انك انت اللي بتشوفها، سالت نفسي هي ليه عمرها ما طلعت لي؟
i realized she didnt want me to because she thought id abandoned her,عرفت انها مش عايزاني علشان فاكراني سيبتها
i had no other option but to die like her,ما كانش قدامي حل غير اني اموت زيها
perhaps she would forgive me,يمكن تسامحني
look for her,دور عليها
maybe you can find her and do what ive failed to do,يمكن انت تقدر تلاقيها، وتعمل اللي انا ماقدرتش عليه
how to get rid of shiraz,ازاي اخلص من شيراز؟
how to save shiraz,ازاي انقذ شيراز؟
he used to say that he wished to die young to spare me his burden,كان بيقول لي هاموت بدري، هترتاحي مني يا رييفة
i always said that he would outlive every one of us,كنت باقوله ده انت اللي هتموتنا وتدفنا يا طلعت
may his soul rest in peace,الله يرحمه
i used to yell at him because i was always worried about him,انا كنت بزعق له علشان خايفة عليه
he was like a child just like taha,كان زي العيال الصغيرة، ده كان زي طه
now im like a child without him,انا دلوقتي اللي عاملة زي العيلة الصغيرة من غيره
i miss him,وحشني اوي
i need him so much,محتاجة له اوي
raeefa we couldnt find refaat anywhere,رييفة، احنا مالقيناش رفعت في اي حتة
its nothing,مفيش حاجة
i havent seen anything,انا مش شايف حاجة
i havent seen anything,انا مش شايف حاجة
refaats 55th law,قانون رفعت رقم
everything seems normal until refaat ismail touches it,كل الاشياء تبدو طبيعية الي ان يقترب منها رفعت اسماعيل
i was in this room before,الاوضة دي انا دخلتها
where did he go,هيكون راح فين بس؟
i hope nothing wrong happened to him,لا يكون جراله حاجة
take it easy,هيكون جراله ايه يعني؟
hes probably with his woman handing out somewhere,تلاقيه مع الخوجاية بتاعته في اي حتة
taha,طه
whats wrong,مالك؟
why did you scream,بتصرخ ليه؟
nothing,مفيش حاجة
what do you mean by nothing,مافيش حاجة ايه يا قلب امك؟
dear refaat i hope the tarot was wrong,عزيزي رفعت، ارجو ان يكون التاروت مخطيا
and that you didnt lose any of your loved ones,وانك لم تفقد ايا من اعزاءك
i am sending you the last tarot card which i did not have time to read,ارسل لك ورقة التاروت الاخيرة التي لم يمهلني الوقت لقراءتها
no need to worry,لا داعي للقلق
this card symbolizes home,فالورقة ترمز للبيت
the card may tell you to return home which you must have done already,ربما كانت نصيحة التاروت ان تعود للوطن او للبيت، الامر الذي لابد انك فعلته
send me your news,ارسل لي اخبارك
regards louis,تحياتي، لوي
hello,الو؟
may i speak to dr refaat,ممكن اكلم دكتور رفعت؟
howaida,هويدا؟
im at the office,انا في المكتب
refaat is not here,رفعت مش هنا
we thought he might be with you,ده احنا قولنا ممكن يبقي معاكي
