EGY,ENG
حلوة الصورة صح؟,"It's nice, isn't it?"
حلوة اوي بس اقنعتيها ازاي؟,"It is, but how did you convince her?"
لا ما انا مأقنعتهاش. ,That's the thing. I didn't. 
في مشكلة صغيرة.,That's the problem.
هي لسة متعرفش ان احنا بنستعمل الصورة.,She still doesn't know we created the whole campaign based on her picture.
يخربيتك!,Oh God! 
يخربيتك!,Oh God! 
يعني انتي فاكرة ان سهير مش هتعرف انك عملتي كدا؟,Do you actually think Soheir's not gonna find out about this?
يا عيني عليكي يا علا. ,"Jeez, Ola! "
زمانها قاعدة مستنياكي في البيت معلقالك الحبل وبالبدلة الحمرة لحد ما انتي تيجي.,"I bet she's at home with a rope and a prison jumpsuit, ready to kill you."
اهو شوفتي؟ ,Told you. 
مش بقولك؟,That's what I'm saying!
حبس انفرادي واعدام كمان. ,"Not just solitary confinement, a death sentence."
اهو ده الطلاق يا حبيبتي.,That's divorce.
Shalimar,Shalimar
ايه ده؟ ,Wow! 
صح، ايوا صح!,That's right. That's right.
لا، لا!,"Oh, wow!"
مش دي امنية الدالي؟,Is that Omnia El Daly?
مين امنية الدالي؟,Who's Omnia Al Daly?
حد ما بعرفش امنية الدالي؟,How could you not know Omnia Al Daly?
لا، ما هو ما ينفعش تبقى انت cooler مني يا منتصر,"No, no, no. You don't get to be cooler than I am, Montasser!"
دي جاية,"She's coming, she's coming!"
هاي,Hi!
هاي,Hi!
لو سمحت ,"Excuse me, please!"
oui,Yes.
une jardan sur le nil. زيك,Un Jardin sur le Nil. Like yours.
ايه ده؟ ,Really?
صح!,Right.
بدري اوي,You're too young for that!
بس يعني بحكم خبرتي في المجال دوت عايز اقولك ان البارفان الي انتي حطاه مش مناسب للصبغة بتاعة بشرتك,"But as an expert in this field, I can say that this perfume you're wearing is not the best fit for your skin's natural pigments."
أوكيه,Okay!
وكمان مش مناسب للبرج بتاعك,"Also, it is incompatible with your star sign."
واو بجد؟ ,Wow! Really?
ايه ده؟, Oh my God!
ده انت مذاكرني كويس اوي. ,"You've really done your homework, haven't you? "
برافو!,Bravo.
حافظك صم,I'm a huge fan!
معلش انا اسفة. ,"Excuse me, I'm sorry."
انا بس مبتفرجش على التلفزيون. ,I just don't watch TV that much.
انتي بقى مثلتي فإيه؟ طلعتي فإيه؟,"So, what exactly have you starred in?"
انا امنية هاي.,"Hi, I'm Omnia."
امنية الدالي influencer، fashion blogger،travel and entrepreneur ,"Omnia El Daly, influencer, fashion blogger, travel entrepreneur"
انا فرنساوي اكتر. ,I'm more into French. 
مليش في الانجليش.,My English is not that strong.
انتو بقى بتوع second chance مش كده؟,"So, you are the owners of Second Chance, right?"
ايوه.,"Yes, we are."
بجد مبروك.,"Well, congratulations!"
انتو قالبين عليكو السوق اليومين دول,You guys are becoming such a hot trend.
ايه ده بجد؟,Really? Nice.
مامي هي اللي ابتدته.,My Mom started it.
لا انا لازم اعمل معاكي انترفيو,Then we should do an interview.
ده انتي You will inspire so many of my 2 million followers.,You will inspire so many of my 2 million followers.
هي قالت 2 million؟,Did she say 2 million?
طبعا، ده أنا يشرفني.,"Sure! It would be an honor, really!"
بجد، يعني! ,I mean
يعني انا اصلا، انا عرفتك دلوقتي. ,"Actually, I recognize you now."
انا معجبة بيكي من زمان ,"I've always been a big fan of yours, huge!"
وعارفة قناتك طبعا وعارفة المحتوى اللي بتقدميه على قناتك جميل,I'm very familiar with your channel and the fantastic content you present.
مامي ,Mommy!
ايه يا حبيبتي؟ ,"Yes, sweetie? "
في ايه؟,What is it?
متزطيش. ,Don't overdo it!
انتي مكنتيش عارفاها من عشر ثواني,You didn't know who she was.
ما يمنعش ان انا دلوقتي عرفتها وبحبها اوي. ,"Still, I know who she is now, and I really like her."
انا ممكن اديكي نمرتي؟,Maybe I could give you my number.
بليز,Please. 
يعني الانترفيو,"You know, for the interview. "
ممكن سيلفي؟,
يلا بينا,Let's do it! Yeah!
اهي نمرتي اهي و سجلتها باسم علا,"That's my number, and I saved it under the name Ola."
ممكن سيلفي؟,Can I get a selfie?
طبعا,Of course.
انا من متابعينك من زمان اوي,I've been an Omnie forever.
حبيبتي thank you,"Oh, sweetheart."
منتصر فين؟ ,Where's Montasser? 
اهو اهو؟,There he is.
خدي دولز ,Take these. 
بينضفوا كعب الرجلين,You can use them to clean your heels.
لذيذة اوي وحلوة,"She's charming, and she's gorgeous. "
عايزة اقولك حلوة بجد,She's beautiful.
ازاي عمري ما سمعت عنها قبل كدا البنت دي,How come I never heard of her before?
ايه ده استني,"Hey, wait a second, guys!"
 ده طلع البتاع اللايف ده,She's doing the live thing.
طلعت لايف دلوقتي,
عايزة افتح. ,I want to watch.
اشوف من هنا؟,What do I do?
اه دوسي,"Tap here, tap here!"
هاي اومنيز!,"Hi, Omnies! "
إزيكو؟,How are you?
متحمسة اوي اوريكوا النهاردة جبت ايه من الكريسماس بازار,I can't wait to show you what I brought from the Christmas bazaar!
استنوا هتتكلم عننا، تعالوا، هتتكلم عننا,She's going to talk about us! Get back here!
جبت الحاجات دي و قابلت ال inspiration علا founder of second chance,"I bought these products here and met the truly inspirational Ola, the founder of Second Chance."
ايه في ايه؟,"Hey, what is it?"
لا مفيش حاجة اسف معلش,"Nothing, nothing. I'm sorry."
معلش يا جماعة حصل خير,"It's all right, guys. We're okay!"
وبيقولو الستات مبتعرفش تسوق، ها؟,"And they say that women don't know how to drive, huh!"
everyone meet my boyfriend هشام,"Everyone, meet my boyfriend, Hisham."
قول هاي طيب,"Say hi, at least!"
هاي,Hi.
معلش يا جماعة! اتش بيتكسف بس شوية.,"I'm sorry, guys, but H can be shy sometimes."
anyways لو حد فيكم جرب منتجاتها قولولي رأيكو ايه,"Anyway, if you have tried their products, let me know what you think."
طبعا ما انتو مظبطينها مع بعض ومش قايلين. ,"I bet you knew about this, and you haven't said!"
ولاد بقى و بتداروا على بعض.,"Typical boys, covering for each other."
انا ما كنتش عارف حاجة على فكرة.,I had no idea.
بس هي جت معاه مرتين في التمرين و قاللي she's a friend.,"I saw her with him at practice, and he said she was a friend."
فريند؟ ,Friend? 
فريند؟,Friend?
هي كل الولاد اللي في سنك كدا ولا انت بس؟,"Are all boys your age like this, or is it just you?"
انا مش فاهم حاجة. ,I'm confused.
انا طالع.,I'm going upstairs!
بجد، انا مش مصدقة. ,"Seriously, I can't believe it!"
هو في ايه؟ ,What on earth is going on?
انا مش فاهمة حاجة.,
ايوة؟ في ايه؟ ايوة,Yes! Okay! I'm coming!
اهلا يا هشام,"Hi, Hisham!"
اهلا,Hi!
حبيبتي، انا اسف معلش. ,"Sweetheart, I'm so sorry about this."
مكنش المفروض تعرفي كدا.,This was not the way I wanted you to find out.
كان المفروض انا اللي اقولك بنفسي.,I was planning to tell you myself.
وعرفتها امتى دي بقى يا هشام؟ ,"When exactly did you meet her, Hisham?"
وازاي؟ ,And how?
دي عيلة صغيرة ,She's a kid! 
هتعرفها ازاي منين؟,And where do you even know her from?
انا قلبي كان حاسس ان انت كنت شايفلك شوفة من واحنا متجوزين,I felt you were seeing another woman while we were still married!
بس,Stop it!
مش قولتلك؟,Didn't I say it?
دماغك متروحش لبعيد يا علا.,Don't let your imagination run wild.
انا عرفتها بعد ما اتطلقنا اصلا.,I actually met her after the divorce.
كانت بتعمل معايا انترفيو عشان الطب النفسي في مصر عشان ال channel بتاعتها.,I met her when I gave her an interview about psychology in Egypt for her channel.
ال channel بتاعتها.,Her channel! 
,Right!
وبعدين يا حبيبتي يعني اكيد مش هقضي طول عمري لوحدي. ,"Besides, sweetie, you can't expect me to spend the rest of my life alone."
بس كان لازم اتأكد من العلاقة الاول عشان اقولك.,But I had to make sure it was serious before telling you about it.
مش اول واحدة كدا اخرج معاها مرة او مرتين يعني اعرفك عليها، مش هينفع.,I can't introduce you to every single woman I go out with. That's not how it works.
طبعا، اكيد! ,Of course not!
تخيلوا بقى لو انا اللي بقول الكلام ده قدام امي وبنتي؟ ,Imagine if I was standing in front of my mother and daughter saying these things.
كانوا قطعوني حتت ورموني لكلاب السكك عبرة لمن تعتبر.,They would cut me into pieces and feed me to the dogs as an example to other women.
وانا مش موافقة.,And I'm not okay with any of this!
هتوافق صدقني.,She'll come around.
هقنعها.,I'm gonna convince her.
وبعدين امنية دي قمر ومعروفة.,"Besides, Omnia is a beautiful woman and a superstar."
يعني حقك الصراحة.,"Honestly, good for you."
سمعتك يا واطية!,"I heard you, you little traitor!"
انا اسف يا علا. ,"I'm so sorry, Ola."
والله ما كنت عارف انك موجودة هناك.,"I swear, I had no way of predicting this."
انت بجد بتنفذ كتاب ازمة منتصف العمر بحذافيره.,You're a textbook example of a man going through a mid-life crisis.
انا عايزك بس تديها فرصة. ,But please give her a chance.
البنت طيبة جدا.,She's a really good person.s
وبعدين ملهاش اي علاقة باللي حصل بينا احنا الاتنين.,And she has nothing to do with what happened between us.
تصبح على خير يا هشام,"Good night, Hisham!"
مش فاهمة يعني يا علا. ,"Come on, Ola! "
انتي عايزاه يعمل ايه يعني؟,What did you expect the man to do?
يستناكي ويقعد يعيط؟ ,Spend his life crying?
ماهو لازم يعط يا حبيبتي.,"Of course, he's going to fool around, honey!"
البت صغيرة وحلوة.,It makes sense. The girl is young and pretty.
وانا مبطقهاش بس الحق يتقال يعني.,"I can't stand her, but this is the truth."
بس يا نسرين! ,"Drop it, Nesrine. "
بس يا حبيبتي!,Just drop it.
بدل ما تقعدي تبسبسيلي كدا، كيديه انتي كمان يا ماما.,"Instead of telling me to drop it, why don't you do something about it?"
Move on! Move on!,"Move on. Move on, dear."
move onسهلة هي اصلها,"Move on? Yeah, as if it was that easy!"
واجيبه منين ده بقى ان شاء الله اذا كانت حياتي كلها شغل و عيال اليومين دول؟,Where exactly am I supposed to find a man when my life is only about work and kids?
من هنا.,Right here.
هنا فين؟,What do you mean here? 
السوبرماركت؟,The supermarket?
اه,Yup
الله هما بقوا بيتباعوا؟,Wow! Do they sell men now?
لا يا ظريفة مبيتباعوش ,Very funny! Of course not.
بس احنا لو ركزنا شوية هنعرف مثلا لو راجل متجوز هيبقى قاعد في البيت بيتفرج على التلفزيون وممشور مراته هي الي تجيب الطلبات والحاجات ,"But if we think strategically, we can guess a married man will not be here. He'll be watching TV at home while his wife runs around, doing all the grocery shopping."
لو خاطب او مصاحب هتلاقيه ماشي هو وصاحبته زي عصفورتين الكناريا,"And someone who's engaged or has a girlfriend will be walking around with her, like two lovebirds."
فاحنا بس ننشن كدا ونركز,"So, we just need to track the single guys, focus and aim."
ايه رايك في ده؟,What about this one?
سبت صغير، جل، مهتم بنفسه ومسبسب ده شيْ ظريف,"He has a small basket and hair gel, so he's well-groomed, and that's good. No one likes a caveman."
تعالي هنشوف هيجيب ايه تاني,Let's see what else he's going to get.
بادز؟ ,Pads? 
لا قلشت مننا دي. ,Oh no! 
اجري! اجري!,"Run, run, run!"
تلاقي مراته والدة ربنا يقومها بالسلامة ومش قادرة تجيب حاجة,His poor wife must be in so much pain she can't go out to do any shopping!
بيبصلي,He's looking at me.
يا مجنونة,You're crazy.
طب نشوف. ,"Okay, let's see. "
طب ايه رايك في ده؟,What about that one?
ده؟ ,That one?
اه,Sure.
حلو,He's cute.
اه والسبت بردو بتاع سينجل,"Yeah. From his basket, he looks single."
برافو! عليكي بدأتي تفهمي. ,"Yeah, you're getting the hang of it. "
شطورة!,Good girl.
طب انا اعمل ايه بقى دلوقتي؟,"Okay, so what am I supposed to do now?"
نشقطه,Hook up!
نشقطه؟,Hook up with him?
يلا اجري,"Go, hurry!"
على فكرة انا ممكن اساعد حضرتك,"I can help you, by the way. If you need help."
لو محتار يعني ,"I mean, if you can't decide."
عشان واضح ان حضرتك معندكش اطفال ومش متجوز,"Cause you don't have kids, and you're not married."
وحضرتك عرفتي منين ان انا مش متجوز؟,What gave the impression I'm not married?
ايه؟,Huh?
حضرتك عرفتي منين اني مش متجوز,What gave the impression I'm not married?
من السبت، من السبت انا عرفت من الحاجات يعني,"Your basket, your basket. I mean, I figured it out from the things that you."
انتو عايزين تسرقوا المحفظة صح؟,You two are trying to steal my wallet.
لا! لا!,Not at all!
لا عايزين تسرقوا المحفظة.,"Yes, you want my wallet."
لا انا بشقط بس حضرتك.,"No, I was just trying to hook up."
محفظة ايه؟ ,What wallet? 
ايه الي حصل؟,What happened?
شوفتي؟,See?
في ايه؟,What the hell is going on?
تعالي. ,"God! Go, go!"
دكتورة علا؟,"Is that you, Ola?"
دكتور مروان، ابو زينة. ,"That's Marwan, Zeina's father."
اسكتي بسرعة,Go!
عز الطلب مش بتقولي ارمل ده المطلوب,Isn't he a widower?
لا ده مليش فيه، مقفل,He's boring.
انا هشقطه انا وحياة امك ,"Let me have him, then! You'll see!"
تعالي بقى يلا,Talk to him. Come on!
دكتور مروان! ,"Oh, Marwan! "
ايه المفاجأة الحلوة دي!,What a pleasant surprise!
ايه الاخبار؟,How have you been?
تمام، ازاي حضرتك؟,I'm good. How are you?
تمام الحمد الله,
الحمد الله,
مبروك!,Congrats!
انا شايف مع زينة البراند نجح ازاي. ,Zeina's been showing me how well your brand is doing. 
حاجة حلوة جدا!,That's awesome.
الله يبارك فيك! ,That's sweet of you. 
ميرسي!,Thank you.
لا، وطبعا عايز اشكرك انك بتشركي زينة معاكي.,And I also wanted to thank you for getting Zeina involved.
لا، تشكرني على ايه؟ ,No need to thank me.
ده زينة هي اكبر عنصر في المشروع والله.,Zeina is actually the most important person in the whole project.
اه كنت عايزة اعرف حضرتك على نسرين شفيق شريكتي في second chance,Ah! I wanted to introduce you to my friend Nesrine Shafeeq. She's the co-owner of Second Chance.
اهلا و سهلا,Nice to meet you!
دكتور مروان ابو زينة ,"Marwan, Zeina's father."
حضرتك دكتور في ايه بقى,"So, what kind of doctor are you?"
انا دكتور قلب,I'm a cardiologist.
نشنت يعني ما شاء الله,Damn! What are the odds!
معلش هو انا بيوقولو عليا ان انا صريحة ومدب حبتين ,Please excuse me for being blunt about what I'm going to ask.
يعني هو انا عارفة من علا ان ماما زينة الله يرحمها اكيد في مكان احسن الف رحمة ونور عليها يعني بس ليه حضرتك لابس دبلة,But I know from Ola that Zeina's mother is in a much better place now; may she rest in peace. Why are you still wearing your wedding ring?
نسرين!,Nesrine!
ايه؟,What?
معلش انا اسفة بجد.,I'm really sorry.
هي مبتفكرش قبل ما بتتكلم.,She doesn't think before speaking. She's an idiot.
انا بجد اسفة.,I apologize on her behalf.
لا عادي عادي. ,"No, it's okay, it's okay!"
انا عن نفسي بحترم الصراحة عشان كدا هقولك.,"I really respect honesty, and that's why I'll tell you."
علشان الستات الي في السوبر ماركت الي بتدور على رجالة تسيبني في حالي.,I wear my ring so the ladies looking for men in the supermarket will leave me alone.
مبروك مرة تانية.,Congratulations again!
باي!,Bye!
باي!,Bye!
الله يبارك فيك! ,Thanks.
الله يبارك فيك!,Thanks.
ايه؟,What?
هاي يا علا! ,"Hi, Ola!"
انا فكرت شوية كدا و شايف انك لو تقبلتي امنية ممكن الولاد كمان يتقبلوها يعني.,"I've been thinking about what's happened, and I believe that if you try to accept Omnia, the kids will take her too."
ايه رأيك لو نروح نتغدا مع بعض كدا احنا الاول وتتعرفي عليها من غير ما يبقوا موجودين؟,"How about we go for lunch, just the three of us, so that you can get to know her first?"
اه، طبعا! اكيد! ,"Uh, having lunch, sure!"
ليه لا؟ ,Why not?
اكيد! نروح نتغدا مع بعض. جدا جدا!,"Sure, let's all go to lunch to get to know each other."
اه، بس ابقى حدد ميعاد بدري بقى عشان اكيد السندريلا الصغيرة بتنام بدري عندها بقى طابور الصباح في المدرسة.,"Yeah, but let's set an early time because I imagine your little Cinderella has to be at school early in the morning. We don't want her to be late for class!"
أوكيه. ,Okay! 
باي!,Bye-bye!
ايه اللي انتي عملتيه دا؟,How could you do that?
لا ده نسرين اللي كانت,"Actually, it was Nesrine's idea. She was "
فضحتيني.,You've disgraced me!
ازاي تنشري صورتي من غير اذني؟ ,How could you use my picture without my permission? 
وكمان من غير حجاب! ,I'm not even wearing a veil!
اقول ايه لاخوكي في دبي؟ ,What do I tell your brother in Dubai?
اقول ايه لطنط شكرية؟,What do I tell your Aunt Sjukreyya?
ايه يا ماما تقوليلها ان انتي ست حلوة و ست محترمة سنها و مش عايزة تهمل في شكلها.,"Mom, relax! Just tell her you're a beautiful woman who respects her age and doesn't want to neglect her appearance."
فين الفضيحة يعني؟,What's so disgraceful about that?
يا سلام!,Is that what you mean?
اه,Yes!
انتي قصدك ايه بفرصة تانية دي.,Is that what you mean by Second Chance? Tell me!
عايزة الناس يقولوا عليا ايه؟ بقيت متصابية؟ فتاة اعلانات؟ ,Do you want people to say that I'm clinging to my youth?
اهو ده اللي ناقص تبقي تحطي صورتي كمان على علبة جيلي كولا.,"Well, just go ahead! Why don't you stick my picture on a jar of gummy bears while at it?"
طب والله فكرة.,"Actually, that's a great idea!"
ايه رأيكوا؟,What do you think?
ماما حبيبتي! ,"Mother, listen to me!"
الستات برة في سنك لسه بيبتدوا حياتهم. ,"In Western countries, women your age are just starting their lives. "
اه والله! ,I'm telling you.
بيتجوزوا وبيحبو. ,"They're getting married, falling in love."
وفي منهم بيخلفوا. ,Some of them are getting pregnant!
انتي مستخسرة ف نفسك كريم تجاعيد؟ ,What makes you think you can't even use an anti-wrinkle cream?
ليه؟ شايفة نفسك expired للدرجة دي؟,Are you expired or something?
يا ماما! ,"No, Mom! "
انتي فريش فريش زي الزبادي ده.,"You're fresh, fresh! As fresh as this yogurt here!"
وبعدين يا ستي مش عجباكي الصورة خلاص نشيلها. ,"If you don't like the picture, we can take it down."
شيليها يا زينة على طول.,"Take it down, Zeina."
أينعم انا كنت عايزة اديكي نسبة من المبيعات عشان ده حقك يعني.,"I was going to give you a percentage of the sales profit, it's your right"
لا هو ايه ما خلاص ايه بس؟ ,"No, no! Wait, Ola! Wait, wait! Why are you being so hasty?"
ما تستني يا علا كدا. الكلام اخد و عطا. ,It's just a conversation. Wait. 
على طول شيلي يا زينة.,"Don't take it down, Zeina!"
ايوا كدا. ,That's more like it!
كنتي بتقولي ايه؟,What were you saying?
قمر!,Gorgeous.
خلاص خلاص هحطه في المشاهد المحذوفة.,"All right, all right! I'll save it for the bloopers!"
هشام يا جماعة! ,"This is Hisham, you guys!"
طب تعالى اتصور معايا صورة عادية!,At least let's take a photo.
لا خلاص.,No. Forget it.
عشان خاطري!,Please!
تمام، والله! ,"I'm fine, really!"
معلش يا جماعة! ,"Sorry, guys."
اصل اتش بيحب الprivacy بتاعته.,It's just that H likes his privacy too much!
معلش! ,"Sorry, guys! "
اصل اتش بيحب الprivacy بتاعته.,H likes his privacy too much!
فين emoji النفسنة؟ ,Where is the emoji for contempt?
ما يعملوه بقى!,Why don't they make one?
توجد لدي عروسة مصرية سنها 20 سنة ترغب بالزواج من شاب خليجي الجنسية بشروطها وتفاصيلها ورقم تليفونها.,"I have a 20-year-old Egyptian young woman seeking marriage with a young man from the Gulf. Her terms, information, and phone number are all available on my YouTube channel."
بس اسكتي!,"Okay, shut up!"
لا ما هو مش انتو الاتنين هتتجننوا مرة واحدة.,"No, no! I can't have both of you go crazy at once."
على ايه؟ ,What do you mean?
على ده؟ ,Do you mean that?
لا ده دي نسرين كانت بعتالي فيديو كدا عشان نضحك. هزار. ,"No, that was Nesrine. She just sent me this funny video as a joke."
انتي مجنونة ولا ايه؟,"Come on, are you crazy?"
مامي؟,Mommy?
ايوة؟ ,Yes?
هو انتي زعلانة مني عشان شوفت امنية مع بابي و مقولتلكيش؟,Are you mad at me because I didn't tell you I saw Omnia with Daddy?
لا، يا روحي! لا! انا مش زعلانة منك. ,"No, sweetie! I'm not mad at you at all! "
انت ما عملتش حاجة غلط اصلا.,You did nothing wrong.
وعلى فكرة ولا بابا عمل حاجة غلط.,"And by the way, Daddy hasn't done anything wrong."
معملش حاجة غلط خالص غير انه راح بدلك بواحدة يدوب اكبر مني بكام سنة.,"Oh, no! Nothing at all! Except that he replaced you with someone just a few years older than me."
بدلك؟ ,Replaced me?
ماشي ,Sure.
من حقه. ,"Well, it's his right."
من حقه يحب و يتجوز و كل حاجة حتى لو مش على مزاجنا.,"He has the right to fall in love and remarry, whether we like it or not."
جاهزين للقنبلة؟ ,Are you ready for the bombshell?
نلعب بقى شوية؟ ,This is going to be fun!
وانا كمان من حقي.,And it's my right to do the same!
لا يا ماما انتي لا,"Not you, Mom!"
لا، يا ماما! انتي لا!,"Not you, Mom!"
اتفضلي، يا استاذة!,Here ma'am! 
 يا اهلا! يا اهلا!,"Welcome, welcome!"
انزلوا بسرعة!,Come on!
ازيك يا صالح؟,"How are you, Saleh?"
الله يسلمك!,"I'm fine, thank you!"
هو ده المحل؟,So this is the place?
هو ده.,This is it.
بسم الله! ما شاء الله! ,God bless.
اتفضلوا!,Come on and follow me.
لذيذ اللوكيشن.,Nice location.
لطيف!,Not bad!
اتفضلوا! اتفضلوا!,Come on in.
ادخلي برجلك اليمين.,Step in with your right foot first!
بالصلاة على النبي! ما شاء الله! ,God bless! Come on in. 
محل شرح وبرح ويرد الروح.,"Didn't I tell you? Bright, spacious. It has good vibes."
حلو، حلو ده! ,It's nice. This is beautiful. 
ايوة كدا يا صالح!,"Good job, Saleh."
مناسب ها؟,"It's perfect, yeah?"
لذيذ! ,Nice.
وبعدين المدخل واسع وع الشارع.,And the entrance is big and accessible.
بس حساه غالي شوية.,But I do think it's a bit expensive.
بطلي رخص بقى بطلي رخص. ,Stop being so cheap!
يعني بتسترخصي في الريحة بتاعتك وبنقول مش مشكلة دي نضافة شخصية .,You can wear a cheap perfume 'cause it's your own hygiene.
انما نسترخص في المحل اكل عيشنا؟ ,But you can't be cheap about this. This is our livelihood.
هنا هيبقى clientele بتاعتنا.,This is where our clientele will be.
 ايه؟,What?
clientele,Clientele
اتعلمت فرنساوي فين؟ ,"Where did you learn French, anyway? "
زفتى؟,In Zefta?
تعالي اما بقولك,"Hey, come here!"
الموكوس بتاعك المتصابي اخباره ايه؟,"What happened? Did you talk to your ex, the sugar daddy?"
لازم تفكريني؟ ,Did you have to remind me?
مش عايزني اتغدى معاهم؟ هو والغندورة التانية,"He wants me and Omnia to get to know each other, so he's planning to have lunch for the three of us."
ايوة بس انا مش هروح لوحدي انا بقولك اهو. ,But I'm not going alone.
انتي هتيجي معايا.,You're coming.
شكله هيتجوزها البت دي.,"If he marries that girl, I can't handle it alone."
يتجوز مين؟ ,What do you care anyway?
وبعدين انتي مالك يتجوزها ولا يتنيل على دماغه؟ ,So what if he marries that girl?
احنا مالنا؟ ,I don't get it. 
نروح فين؟,Why should we go have lunch with him?
علا اوعي تفكري تتجوزي عشان تفرسيه ولا تغظيه. ,Ola! Don't even think of getting married to make him jealous! 
انا عارفاكي.,Not a good idea.
انتي شايفة يعني العرسان على قفا من يشيل؟,As if eligible bachelors are begging at my feet.
انا يا بنتي اربعينية مطلقة معاها جوز عيال، جوز مش عيل واحد. ,"I'm a 40-year-old divorcee with two kids, for God's sake! Two kids! Two kids! Not just one."
يعني second hand package محترمة.,"In other words, I'm an excellent old second-hand package."
مين اللي هيرضى بيا؟ ,Who would want me anyway?
لا، طبعا! انا هموت لوحدي.,"No one, I'm going to die alone."
ايه ده؟,.What the hell?
اه زي سعاد.,"Yes, like So'ad."
سعاد مين؟,Who's So'ad?
سعاد جارتنا زمان. ,"Sho'ad, she was our neighbor."
كانت تقعد تحدفنا بالطوب وتكسر البربريزات كلها.,She used to throw stones at us and break all our car windshields.
الوحدة جننتها.,Loneliness drove her mad.
لا، انا قلقانة اوي من موضوع الapp ده. ,"No, no. I don't feel good about this app thing."
ايه dating app وبتاع؟ ,I don't want to use a dating app! 
مش جوي.,It's not my thing!
وازاي اقنعتوني اصلا؟ ,How did you guys talk me into it?
لا! لا!,"No, no."
بصي بصي الصور. ,Look! Look at these pictures! 
كل اللي عليه شكلهم شمال اصلا.,They all look like perverts.
اسالي صحبتك؟,You mean like your friend? 
دي لسه طلعالي عليه امبارح.,I found her on the app yesterday.
واسم الله كنت طلعتلي على ويكيبيديا؟,And where do you think I found you? On Wikipedia?
ما انت طالعلي عليه انت كمان. مالك؟,"You were on the app too, weren't you?"
لا معلش ثانية واحدة. ,"Hey, wait a minute! "
هو انتو طلعتو لبعض في البتاع ده؟ ,Did you find each other on this thing? And you matched?
وماتش؟,And you matched?
يبقى مبيشتغلش. ,"Clearly, it doesn't work. "
نضيع وقتنا ليه؟ ,Why waste my time?
وايه كم الخانات كتيرة اوي؟ ,And why are there so many empty fields? 
انا هملي الخانات دي ازاي؟,How will I fill all that?
ايوة اكتبي.,"Yes, just write."
ايه اهتماماتك؟,What are your interests?
اكتبي في الخانة دي انك بتستمتعي في الشغل. ,"Here, write that you enjoy working. "
الرجالة بتحب الست الناجحة.,Men like successful women.
لا، طبعا! ,"Hell, no! "
لازم الصورة تكون جذابة والكلام يكون غامض mysterieux,"All you need is a hot profile picture. And whatever you put in there, keep it vague. "
ايوة يعني اكتب ايه يعني؟,"Okay, so what am I supposed to write?"
اكتبي انك مطلقة وتعول ومبتفكريش في اجابة السؤال ده لمدة عشر سنين ودلوقتي ان الاوان انك تستمتعي بكل لحظة في حياتك.,"You're gonna write that you are a divorced woman, a breadwinner, that you haven't thought about an answer to this question in ten years, and that now, the time has come for you to enjoy every moment of being single."
حلو! حلو! ,Cool! Cool!
شايفة؟,See?
ومحتاج بطاقتك بردو.,"I need your ID, by the way."
هما بيطلبوا البطاقة في البتاع ده؟ ,Do they need your ID for this thing?
انا خنصرت من سني خمس سنين.,I've skimmed five years off my actual age.
لا يا حبيبتي عشان العقد بتاع المحل. ,"No, honey. It's for the store's release contract."
اه ماشي ماشي.,Oh! Okay!
وبطاقتك انتي كمان.,"And yours, too."
انا مبديش بطاقتي لحد.,"Actually, I never give my ID to anyone. Okay?"
هعمل ايه طيب؟ ,What am I supposed to do?
ده شغل.,It's for work.
خلاص خلاص اوكي! ,"That's fine, okay!"
خليكي بقى شريكة من الباطن.,You can always be a silent partner.
طلعي!,What? Just do it.
خلاص هديها لعلا!,I'll give it to Ola.
تخديها انتي! ميشوفهاش!,I don't want him to see it.
حاضر!,Okay!
هديها لعلا.,I'll give it to Ola.
ماشي.,Okay.
هتديها لعلا ايه؟ ,"What do you mean, give it to Ola?"
على فكرة كلنا صورنا وحشة في البطاقة، متحاوليش! ,Don't be shy. We all look bad in our ID photo.
هاتي يا علا!,Give it to me!
انا قولت هديها لعلا. ,I said I'll give it to Ola.
انتي مجنونة ولا ايه؟,"Hey, are you crazy?"
قولت هديها لعلا.,I said I'll give it to Ola.
انت سيبها.,
اهدي! اهدي!,"Hey, hey, relax!"
اهدي بالراحة! ,Calm down! 
في ايه؟ الله! ,Take it easy.
واصلا دي مش بطاقتك. ,This is not even yours!
دي بطاقة راجل. ,It's a man's ID. 
واسمه رضا. ,His name is Reda.
بس حاطت صورتك. ,But the photo is yours.
انتي اسمك رضا؟,Your name is Reda?
بس بقى! ,Stop it! 
بس بقى!,Stop it!
اسمك رضا؟ بجد اسمها رضا؟,Is your name really Reda?
اه اسمها رضا.,"Yes, her name is Reda."
بس حلو.,But it's a nice name.
اه لطيف.,"Yeah, it's cute."
وهما سموكي رضا ليه بقى؟ ,"So, why did they name you Reda?"
عشان كان عليكوا ندر؟ ,Was it a family vow?
ولا بابا كان فاكرك ولد؟,Or that your dad really wanted a boy?
ماهو ده اسم جدها الله يرحمه.,"In fact, it was her grandfather's name; may he rest in peace."
علا!,Ola!
والله انا شايفة انه عادي جدا. ,It's perfectly normal!
انا بحب الاسم ده اصلا.,"I always liked your name, anyway."
خلاص بقى.,Cut it out!
تقدري تقولي ان النضافة هي محور حياتي.,You could say that my life revolves around cleanliness.
طبعا في ناس بتشوف ده هوس. ,Some people think of it as an obsession.
دي ناس مبتفهمش.,These people are obviously idiots.
